"soc_id","High god","Class differentiation","Lat","Long"
"Nc9","Absent","Wealth distinctions",42,-122
"Nd1","Active, supporting morality","Wealth distinctions",45,-121
"Nd11","Absent","Absence of distinctions",51,-120
"Nd12","Absent","Absence of distinctions",46,-113
"Nd14","Absent","Wealth distinctions",48,-117
"Nd15","Otiose","Absence of distinctions",49,-120
"Nd18","Absent","Wealth distinctions",46,-121
"Nd2","Otiose","Absence of distinctions",38,-109
"Nd20","Absent","Wealth distinctions",45,-115
"Nd22","Absent","Absence of distinctions",43,-119
"Nd26","Absent","Absence of distinctions",41,-120
"Nd27","Absent","Absence of distinctions",40,-119
"Nd3","Absent","Absence of distinctions",36,-112
"Nd30","Otiose","Absence of distinctions",37,-118
"Nd4","Active, but not supporting morality","Absence of distinctions",48,-119
"Nd43","Otiose","Absence of distinctions",41,-117
"Nd5","Absent","Absence of distinctions",42,-112
"Nd54","Absent","Absence of distinctions",35,-115
"Nd6","Absent","Absence of distinctions",39,-120
"Nd65","Absent","Absence of distinctions",36,-114
"Nd66","Absent","Absence of distinctions",35,-112
"Nd67","Absent","Absence of distinctions",34,-114
"Nd7","Otiose","Absence of distinctions",50,-117
"Nd9","Absent","Wealth distinctions",50.02,-124.78
"Ne1","Active, supporting morality","Absence of distinctions",48.78,-108.98
"Ne11","Otiose","Absence of distinctions",48,-106
"Ne12","Otiose","Wealth distinctions",51,-112
"Ne13","Otiose","Wealth distinctions",51,-115
"Ne14","Otiose","Absence of distinctions",51,-100
"Ne15","Otiose","Absence of distinctions",47,-101
"Ne18","Otiose","Wealth distinctions",49,-115
"Ne19","Otiose","Absence of distinctions",45,-94
"Ne4","Absent","Absence of distinctions",45,-108
"Ne5","Absent","Absence of distinctions",39,-104
"Ne8","Otiose","Absence of distinctions",43,-103
"Ne9","Absent","Absence of distinctions",40,-103
"Nf13","Active, supporting morality","Absence of distinctions",37,-85
"Nf3","Absent","Absence of distinctions",41,-96
"Nf4","Active, but not supporting morality","Absence of distinctions",40,-86
"Nf5","Otiose","Absence of distinctions",34,-98
"Nf6","Otiose","Dual stratification",42,-100
"Nf7","Active, supporting morality","Absence of distinctions",45,-95
"Nf8","Active, supporting morality","Dual stratification",31,-95
"Ng1","Otiose","Wealth distinctions",44,-78
"Ng10","Otiose","Absence of distinctions",43,-77
"Ng3","Otiose","Absence of distinctions",33,-84
"Ng6","Active, but not supporting morality","Absence of distinctions",41,-75
"Ng7","Otiose","Elite stratification",32,-91
"Ng8","Absent","Dual stratification",27,-82
"Nh1","Absent","Absence of distinctions",31,-108
"Nh10","Absent","Absence of distinctions",35,-107
"Nh11","Absent","Absence of distinctions",36,-106
"Nh12","Absent","Wealth distinctions",35,-107
"Nh16","Absent","Absence of distinctions",36,-104
"Nh18","Absent","Absence of distinctions",36,-111
"Nh19","Absent","Absence of distinctions",32,-115
"Nh20","Absent","Absence of distinctions",33,-115
"Nh21","Absent","Absence of distinctions",35,-114
"Nh25","Otiose","Absence of distinctions",36,-107
"Nh3","Absent","Absence of distinctions",37,-110
"Nh4","Absent","Absence of distinctions",35,-109
"Nh5","Absent","Absence of distinctions",33,-113
"Nh7","Absent","Absence of distinctions",36,-106
"Nh9","Absent","Absence of distinctions",36,-106
"Ni1","Active, supporting morality","Wealth distinctions",28,-107
"Ni2","Active, supporting morality","Absence of distinctions",31,-112
"Ni5","Absent","Absence of distinctions",22,-100
"Nj2","Active, but not supporting morality","Complex stratification",19,-99
"Nj3","Active, supporting morality","Absence of distinctions",18,-95
"Nj9","Active, supporting morality","Absence of distinctions",19,-98
"Sa1","Active, supporting morality","Wealth distinctions",9,-78
"Sa10","Otiose","Absence of distinctions",16.9,-91
"Sa12","Active, supporting morality","Dual stratification",14,-88
"Sa13","Active, supporting morality","Wealth distinctions",15,-91
"Sa3","Otiose","Complex stratification",14,-89
"Sa4","Otiose","Absence of distinctions",8,-78
"Sa5","Active, but not supporting morality","Absence of distinctions",9,-83
"Sa7","Active, supporting morality","Absence of distinctions",16,-89
"Sa8","Active, supporting morality","Wealth distinctions",15,-92
"Sa9","Active, supporting morality","Absence of distinctions",14.766,-84.089
"Sb1","Otiose","Absence of distinctions",15.41,-61.27
"Sb2","Otiose","Wealth distinctions",11,-74
"Sb4","Absent","Absence of distinctions",9,-64
"Sb5","Otiose","Absence of distinctions",11,-72
"Sb6","Active, but not supporting morality","Wealth distinctions",12,-72
"Sb7","Otiose","Absence of distinctions",9,-72
"Sb8","Otiose","Dual stratification",19.94,-75.37
"Sb9","Active, supporting morality","Complex stratification",18.41,-72.17
"Sc1","Active, supporting morality","Absence of distinctions",9,-62
"Sc10","Otiose","Absence of distinctions",5.95,-56.98
"Sc18","Otiose","Absence of distinctions",5,-54
"Sc3","Otiose","Absence of distinctions",5,-59
"Sc4","Absent","Absence of distinctions",5,-69
"Sc7","Absent","Absence of distinctions",5,-66
"Sc8","Absent","Absence of distinctions",5,-67
"Sd1","Absent","Absence of distinctions",-6,-58
"Sd2","Absent","Absence of distinctions",-11,-52
"Sd7","Absent","Absence of distinctions",1,-59
"Sd8","Absent","Absence of distinctions",4,-66
"Sd9","Absent","Absence of distinctions",2,-65
"Se1","Otiose","Absence of distinctions",-16,-64
"Se10","Otiose","Wealth distinctions",1,-79
"Se2","Otiose","Absence of distinctions",-3,-70
"Se3","Absent","Absence of distinctions",-3,-78
"Se4","Absent","Absence of distinctions",-3,-72
"Se5","Absent","Absence of distinctions",1,-71
"Se6","Otiose","Absence of distinctions",-1,-74
"Se8","Absent","Absence of distinctions",-10,-72
"Se9","Absent","Absence of distinctions",-9,-74
"Sf1","Otiose","Complex stratification",-13,-72
"Sf2","Active, supporting morality","Wealth distinctions",-16,-69
"Sf3","Absent","Absence of distinctions",1,-79
"Sf4","Otiose","Absence of distinctions",7,-72
"Sf6","Absent","Dual stratification",5,-72
"Sf7","Otiose","Absence of distinctions",-8,-75
"Sg1","Active, supporting morality","Absence of distinctions",-55.02,-68.98
"Sg2","Active, but not supporting morality","Wealth distinctions",-39,-68
"Sg3","Otiose","Absence of distinctions",-54,-69
"Sg4","Otiose","Absence of distinctions",-46,-70
"Sg5","Absent","Absence of distinctions",-52,-74
"Sh1","Absent","Absence of distinctions",-24,-63
"Sh2","Otiose","Dual stratification",-21,-58
"Sh3","Absent","Dual stratification",-29,-61
"Sh5","Absent","Absence of distinctions",-22,-62
"Sh6","Active, but not supporting morality","Dual stratification",-20,-59
"Sh8","Active, supporting morality","Absence of distinctions",-25,-60
"Sh9","Otiose","Absence of distinctions",-23,-59
"Si1","Absent","Absence of distinctions",-16,-55
"Si10","Absent","Absence of distinctions",-13,-54
"Si2","Absent","Absence of distinctions",-12,-53
"Si3","Absent","Absence of distinctions",-14,-55
"Si4","Absent","Absence of distinctions",-12,-59
"Si5","Otiose","Absence of distinctions",-12,-54
"Si7","Absent","Absence of distinctions",-15,-58
"Si8","Absent","Absence of distinctions",-15,-57
"Sj1","Absent","Absence of distinctions",-12,-50
"Sj11","Absent","Absence of distinctions",-14,-52
"Sj2","Absent","Absence of distinctions",-9,-48
"Sj3","Absent","Absence of distinctions",-28,-50
"Sj4","Absent","Absence of distinctions",-7,-45
"Sj6","Absent","Absence of distinctions",-3,-46
"Sj7","Otiose","Absence of distinctions",-6,-49
"Sj8","Otiose","Wealth distinctions",-8,-35
"ch12","Active, supporting morality","Complex stratification",54,56
"ch13","Active, supporting morality","Wealth distinctions",58,52
"ch14","Active, supporting morality","Wealth distinctions",57,53
"ch15","Active, supporting morality","Elite stratification",53,50
"ch16","Active, supporting morality","Complex stratification",59,26
"ch17","Active, supporting morality","Wealth distinctions",45.44,29.32
"ch18","Active, supporting morality","Wealth distinctions",59,29
"ch19","Active, supporting morality","Wealth distinctions",64,33
"ch20","Active, supporting morality","Complex stratification",55,50
"ch21","Active, supporting morality","Complex stratification",57,24
"ch22","Active, supporting morality","Complex stratification",55,23
"ch23","Active, supporting morality","Complex stratification",55,24
"ch24","Active, supporting morality","Wealth distinctions",57,23
"ch25","Active, supporting morality","Complex stratification",47,29
"ch26","Active, supporting morality","Wealth distinctions",57,53
"ch27","Active, supporting morality","Wealth distinctions",61,35
"ch28","Active, supporting morality","Wealth distinctions",59,29
"ec12","Otiose","Absence of distinctions",72,90
"ec13","Otiose","Absence of distinctions",54.98,161.79
"ec14","Otiose","Wealth distinctions",64,-173
"ec15","Otiose","Absence of distinctions",63,62
"ec16","Otiose","Absence of distinctions",55,112
"ec17","Otiose","Wealth distinctions",52,134
"ec18","Otiose","Wealth distinctions",50,136
"ec19","Otiose","Absence of distinctions",54.01,142.71
"ec20","Otiose","Absence of distinctions",51,138
"ec21","Otiose","Absence of distinctions",47,136
